MachineName,B_11,E_11,I_11,R_11,B_12,E_12,I_12,R_12
Isopectic Trick,1,0,0,0,1,0,0,0
Isopectic Trick,0,1,0,0,0,1,0,0
Isopectic Trick,0,1,0,0,0,1,0,0
Isopectic Trick,0,1,0,0,0,1,0,0
Isopectic Trick,0,1,0,0,0,1,0,0
Isopectic Trick,0,1,0,0,0,1,0,0
Isopectic Trick,0,1,0,0,0,1,0,0
Isopectic Trick,0,0,1,0,0,0,1,0
Isopectic Trick,0,0,1,0,0,0,1,0
Isopectic Trick,0,0,1,0,0,0,1,0
Isopectic Trick,0,0,1,0,0,0,1,0
Isopectic Trick,0,0,1,0,0,0,1,0
Isopectic Urnfield,0,0,0,1,0,0,1,0
Isopectic Urnfield,0,0,0,1,0,0,1,0
Isopectic Urnfield,0,0,0,1,0,0,1,0
Isopectic Urnfield,0,0,0,1,0,0,1,0
Isopectic Vermicular,0,1,0,0,0,0,1,0
Isopectic Video,1,0,0,0,0,0,0,1
Isopectic Video,1,0,0,0,0,0,0,1
Italian Acephaly,0,0,1,0,0,0,0,1
Italian Acephaly,0,0,1,0,0,0,0,1
Italian Acephaly,0,0,1,0,0,0,0,1
Italian Acephaly,0,0,1,0,0,0,0,1
Italian Acephaly,1,0,0,0,0,0,1,0
Italian Acephaly,1,0,0,0,0,0,1,0
Italian Acephaly,1,0,0,0,0,0,1,0
Italian ML,0,0,0,1,0,0,0,1
Italian ML,0,0,0,1,0,0,0,1
Italian ML,0,0,0,1,0,0,0,1
Italian ML,0,0,0,1,0,0,0,1
Italian ML,0,0,0,1,0,0,0,1
Italian ML,1,0,0,0,0,0,0,1
Italian ML,1,0,0,0,0,0,0,1
Italian ML,1,0,0,0,0,0,0,1
Italian Undermiller,0,0,1,0,0,0,0,1
Italian Undermiller,0,0,1,0,0,0,0,1
Italian Undermiller,0,0,1,0,0,0,0,1
Italian Undermiller,0,0,1,0,0,0,0,1
Kalahari,0,0,1,0,0,0,1,0
Kalahari,0,0,1,0,0,0,1,0
Kalahari,0,0,1,0,0,0,1,0
Kalahari,0,0,1,0,0,0,1,0
Krummhorn,1,0,0,0,1,0,0,0
Kweek,0,1,0,0,0,0,1,0
Kweek,0,1,0,0,0,0,1,0
Lapp,0,0,0,1,0,0,1,0
Lapp,0,1,0,0,0,1,0,0
Lepiotaceae,1,0,0,0,1,0,0,0
Lepiotaceae,1,0,0,0,1,0,0,0
Lepiotaceae,0,1,0,0,0,0,1,0
Lepiotaceae,0,1,0,0,0,0,1,0
Lepiotaceae,0,0,0,1,0,0,0,1
Lepiotaceae,0,0,0,1,0,0,0,1
Lepiotaceae,0,0,0,1,0,0,0,1
Lepiotaceae,0,0,0,1,0,0,0,1
Lexington Juggernaut,0,1,0,0,0,1,0,0
Lexington Juggernaut,0,1,0,0,0,1,0,0
Lexington Juggernaut,0,1,0,0,0,1,0,0
Lexington Juggernaut,0,1,0,0,0,1,0,0
